"id","type","serialized_name","mentioned_in","string"
125,"mention","self@FunctionDef_0x16d0961e564c9c19","",""
126,"FunctionDef","FunctionDef_0x16d0961e564c9c19",126,"def __repr__(self) -> str:
        """"""
        Return representation
        :return: Получить представление
        """"""
        return f""Number({self.val})"""
127,"arg","arg_0x16d0961e564f175c",126,"self"
128,"arguments","arguments_0x16d0961e561dcaa2",126,""
129,"JoinedStr","JoinedStr_","",""
130,"Return","Return_0x16d0961e5607da67",126,"return f""Number({self.val})"""
131,"mention","__repr__@ClassDef_0x16d0961e56c33c7e",97,""
132,"subword","repr","",""
133,"mention","Number@Module_0x16d0961e565f53c0",98,""
134,"Name","Module","",""
135,"ImportFrom","ImportFrom_0x16d0961e584bcc31","","from Module import Number"
136,"Module","Module_0x16d0961e583e3a1f",136,""
138,"Name","Number","",""
139,"alias","alias_0x16d0961e582a8984",136,""
140,"mention","Number@FunctionDef_0x16d0961e58ef8c6f","",""
141,"FunctionDef","FunctionDef_0x16d0961e58ef8c6f",141,"def main():
    a = Number(4)
    b = Number(5)
    print(a+b)"
142,"Call","Call_0x16d0961e58c4715a",141,"Number(4)"
143,"Assign","Assign_0x16d0961e5804072e",141,"a = Number(4)"
144,"subword","▁a","",""
145,"mention","a@FunctionDef_0x16d0961e58ef8c6f",141,""
146,"Call","Call_0x16d0961e597190da",141,"Number(5)"
147,"Assign","Assign_0x16d0961e59508ca8",141,"b = Number(5)"
148,"subword","▁b","",""
149,"mention","b@FunctionDef_0x16d0961e58ef8c6f",141,""
150,"mention","print@FunctionDef_0x16d0961e58ef8c6f",141,""
151,"Call","Call_0x16d0961e595b7a90",141,"print(a+b)"
152,"BinOp","BinOp_0x16d0961e59300cbd",141,"a+b"
153,"mention","main@Module_0x16d0961e583e3a1f",136,""
154,"Call","Call_0x16d0961e592ddca4",136,"main()"
